file,mode,guess_cm-1,peak_cm-1,transmittance
Backfround air.0.csv,guess,830.0,677.8714758127,0.0024324288
Backfround air.0.csv,guess,900.0,1060.6808298594,0.4392292798
Backfround air.0.csv,guess,1090.0,1060.6808298594,0.4392292798
Backfround air.0.csv,guess,2180.0,2090.505490116,0.5366171598
Backfround air.0.csv,guess,2350.0,2340.2476127812,0.312820822
Backfround wafer.0.csv,guess,830.0,1106.000828946,0.0922604054
Backfround wafer.0.csv,guess,900.0,1106.000828946,0.0922604054
Backfround wafer.0.csv,guess,1090.0,1106.000828946,0.0922604054
Backfround wafer.0.csv,guess,2180.0,2065.4348523124,0.0851329193
Backfround wafer.0.csv,guess,2350.0,2340.2476127741,0.0496538058
NN-120  180°C 1h + 800°C 1h.0.csv,guess,830.0,819.6170048859,0.2639564574
NN-120  180°C 1h + 800°C 1h.0.csv,guess,900.0,904.471471274,0.2606224716
NN-120  180°C 1h + 800°C 1h.0.csv,guess,1090.0,1089.6084888483,0.0682229027
NN-120  180°C 1h + 800°C 1h.0.csv,guess,2180.0,2343.1403786737,0.167528972
NN-120  180°C 1h + 800°C 1h.0.csv,guess,2350.0,2343.1403786737,0.167528972
NN-120 180°C 1h.1.csv,guess,830.0,831.1880684842,0.1362642497
NN-120 180°C 1h.1.csv,guess,900.0,949.7914703677,0.1757815033
NN-120 180°C 1h.1.csv,guess,1090.0,1106.9650842458,0.1670082211
NN-120 180°C 1h.1.csv,guess,2180.0,2180.1812329964,0.1279938221
NN-120 180°C 1h.1.csv,guess,2350.0,2348.9259104729,0.186123237
NN-120 2 layers 180°C 1h + 800°C 1h.0.csv,guess,830.0,838.9021108832,0.2833274007
NN-120 2 layers 180°C 1h + 800°C 1h.0.csv,guess,900.0,903.5072159742,0.270586133
NN-120 2 layers 180°C 1h + 800°C 1h.0.csv,guess,1090.0,1089.6084888483,0.0688792691
NN-120 2 layers 180°C 1h + 800°C 1h.0.csv,guess,2180.0,2343.1403786737,0.1666127145
NN-120 2 layers 180°C 1h + 800°C 1h.0.csv,guess,2350.0,2343.1403786737,0.1666127145
NN-120 2 layers 180°C 1h.0.csv,guess,830.0,830.2238131844,0.1447214633
NN-120 2 layers 180°C 1h.0.csv,guess,900.0,947.862959768,0.1876098365
NN-120 2 layers 180°C 1h.0.csv,guess,1090.0,1107.9293395457,0.1818702221
NN-120 2 layers 180°C 1h.0.csv,guess,2180.0,2178.2527223967,0.1363611966
NN-120 2 layers 180°C 1h.0.csv,guess,2350.0,2358.5684634716,0.1897067279
NN-120 3 layers 180°C 1h + 800°C 1h.0.csv,guess,830.0,819.6170048859,0.2562143803
NN-120 3 layers 180°C 1h + 800°C 1h.0.csv,guess,900.0,906.3999818738,0.2518031597
NN-120 3 layers 180°C 1h + 800°C 1h.0.csv,guess,1090.0,1089.6084888483,0.0661782399
NN-120 3 layers 180°C 1h + 800°C 1h.0.csv,guess,2180.0,2342.1761233738,0.1625005752
NN-120 3 layers 180°C 1h + 800°C 1h.0.csv,guess,2350.0,2342.1761233738,0.1625005752
NN-120 3 layers 180°C 1h.0.csv,guess,830.0,831.1880684842,0.1290171593
NN-120 3 layers 180°C 1h.0.csv,guess,900.0,949.7914703677,0.1684013307
NN-120 3 layers 180°C 1h.0.csv,guess,1090.0,1106.9650842458,0.1589114368
NN-120 3 layers 180°C 1h.0.csv,guess,2180.0,2180.1812329964,0.1208703518
NN-120 3 layers 180°C 1h.0.csv,guess,2350.0,2359.5327187714,0.174875021
NN-120 80° 10min.0.csv,guess,830.0,836.9736002834,0.1407259852
NN-120 80° 10min.0.csv,guess,900.0,892.9004076756,0.1395714879
NN-120 80° 10min.0.csv,guess,1090.0,1108.8935948456,0.1934319586
NN-120 80° 10min.0.csv,guess,2180.0,2166.6816587983,0.0968885049
NN-120 80° 10min.0.csv,guess,2350.0,2382.6748459682,0.2042787522
wafer réf.0.csv,guess,830.0,834.0808343838,0.2930322289
wafer réf.0.csv,guess,900.0,907.3642371736,0.2599828243
wafer réf.0.csv,guess,1090.0,1108.8935948456,0.2015953213
wafer réf.0.csv,guess,2180.0,2359.5327187714,0.1565086842
wafer réf.0.csv,guess,2350.0,2359.5327187714,0.1565086842
